Name,NA,Symbol,Family,PF,PE,Densidad,PA,RadioAtomico,PrimeraIP,specific heatcapacity,thermal conductivity,electrical conductivity,heat of fusion,Heat of Vaporization,Electro- negativity,mg/kg crust,Year
hydrogen,1,H,Hydrogen,14,20,899,1.0,0.79,13.60,,1.8E-01,,0.1,0,2.2,1.4E+03,1766
helium,2,He,Noble gas,1,4,1.785,4.0,0.49,24.59,,1.5E-01,,0.02,0,,8.0E-03,1895
lithium,3,Li,Alkali Metal,454,1619,0.53,6.9,02.05,5.39,3.58,8.5E+01,1.2E+01,3,147,1.0,2.0E+01,1817
beryllium,4,Be,Alkaline Earth,1560,2757,1.85,9.0,1.4,9.32,1.83,2.0E+02,2.5E+01,12,297,1.6,2.8E+00,1798
boron,5,B,Boron,2365,3931,2.34,10.8,1.17,5.30,01.03,2.7E+01,5.0E-12,23,508,2.0,1.0E+01,1808
carbon,6,C,Carbon,3825,5100,2.26,12.0,0.91,11.26,0.71,,7.0E-02,,715,2.6,2.0E+02,ancient
nitrogen,7,N,Pnictide,63,77,1.251,14.0,0.75,14.53,01.04,2.6E-02,,0.4,3,3.0,1.9E+01,1772
oxygen,8,O,Chalcogen,55,90,1.429,16.0,0.65,13.62,0.92,2.7E-01,,0.2,3,3.4,4.6E+05,1774
fluorine,9,F,Halogen,54,85,1.696,19.0,0.57,17.42,0.82,2.8E-02,,0.3,3,4.0,5.9E+02,1886
neon,10,Ne,Noble gas,25,27,0.9,20.2,0.51,21.56,01.03,4.9E-02,,0.3,2,,5.0E-03,1898
sodium,11,Na,Alkali Metal,371,1155,0.97,23.0,2.23,5.14,1.23,1.4E+02,2.0E+01,3,98,0.9,2.8E+03,1807
magnesium,12,Mg,Alkaline Earth,922,1378,1.74,24.3,1.72,7.65,01.02,1.6E+02,2.2E+01,9,128,1.3,2.3E+04,1808
aluminum,13,Al,Boron,934,2720,2.7,27.0,1.62,5.99,0.90,2.4E+02,3.8E+01,11,291,1.6,8.2E+04,1825
silicon,14,Si,Carbon,1683,2953,2.33,28.1,1.44,8.15,0.70,1.5E+02,4.0E-04,50,359,1.9,2.8E+05,1824
phosphorus,15,P,Pnictide,317,553,1.82,31.0,1.23,10.49,0.77,2.4E-01,1.0E-16,1,12,2.2,1.1E+03,1669
sulfur,16,S,Chalcogen,392,718,02.07,32.1,01.09,10.36,0.71,2.7E-01,5.0E-16,2,10,2.6,3.5E+02,ancient
chlorine,17,Cl,Halogen,172,239,3.214,35.5,0.97,12.97,0.48,8.9E-03,,3,10,3.2,1.5E+02,1774
argon,18,Ar,Noble gas,84,87,1.784,39.9,0.88,15.76,0.52,1.8E-02,,1,7,,3.5E+00,1894
potassium,19,K,Alkali Metal,337,1039,0.86,39.1,2.77,4.34,0.76,1.0E+02,1.6E+01,2,77,0.8,2.1E+04,1807
calcium,20,Ca,Alkaline Earth,1112,1757,1.55,40.1,2.23,6.11,0.65,2.0E+02,3.1E+01,9,155,1.0,4.2E+04,1808
scandium,21,Sc,Transition Metal,1814,3003,2.99,45.0,02.09,6.54,0.57,1.6E+01,1.5E+00,16,305,1.4,2.2E+01,1879
titanium,22,Ti,Transition Metal,1935,3562,4.54,47.9,2,6.82,0.52,2.2E+01,2.6E+00,19,425,1.5,5.7E+03,1791
vanadium,23,V,Transition Metal,2163,3682,6.11,50.9,1.92,6.74,0.49,3.1E+01,4.0E+00,23,447,1.6,1.2E+02,1830
chromium,24,Cr,Transition Metal,2130,2945,7.19,52.0,1.85,6.77,0.45,9.4E+01,7.9E+00,20,340,1.7,1.0E+02,1797
manganese,25,Mn,Transition Metal,1518,2393,7.44,54.9,1.79,7.44,0.48,7.8E+00,5.0E-01,15,220,1.6,9.5E+02,1774
iron,26,Fe,Transition Metal,1808,3146,7.874,55.8,1.72,7.87,0.45,8.0E+01,1.1E+01,14,350,1.8,5.6E+04,ancient
cobalt,27,Co,Transition Metal,1768,3170,8.9,58.9,1.67,7.86,0.42,1.0E+02,1.8E+01,16,373,1.9,2.5E+01,1739
nickel,28,Ni,Transition Metal,1726,3193,8.9,58.7,1.62,7.64,0.44,9.1E+01,1.5E+01,17,378,1.9,8.4E+01,1751
